country_name,2019_population
"Venezuela, RB",28515829.0
British Virgin Islands,30030.0
Virgin Islands (U.S.),106631.0
Vietnam,96462106.0
Vanuatu,299882.0
World,7673533974.0
Samoa,197097.0
Kosovo,1794248.0
"Yemen, Rep.",29161922.0
South Africa,58558270.0
Zambia,17861030.0
Zimbabwe,14645468.0
